Alive Check — starting...
  Pending: 5220 sites

  15/5220 (0.3%) | alive=15 dead=0 | 2.3s | ETA 798s
  30/5220 (0.6%) | alive=29 dead=1 | 3.3s | ETA 571s
  45/5220 (0.9%) | alive=44 dead=1 | 4.9s | ETA 564s
  60/5220 (1.1%) | alive=59 dead=1 | 6.0s | ETA 516s
  75/5220 (1.4%) | alive=74 dead=1 | 7.4s | ETA 508s
  90/5220 (1.7%) | alive=89 dead=1 | 9.1s | ETA 519s
  105/5220 (2.0%) | alive=104 dead=1 | 11.2s | ETA 546s
  120/5220 (2.3%) | alive=117 dead=3 | 12.9s | ETA 548s
  135/5220 (2.6%) | alive=129 dead=6 | 14.4s | ETA 542s
  150/5220 (2.9%) | alive=144 dead=6 | 15.4s | ETA 521s
  165/5220 (3.2%) | alive=159 dead=6 | 16.3s | ETA 499s
  180/5220 (3.4%) | alive=171 dead=9 | 32.3s | ETA 904s
  195/5220 (3.7%) | alive=186 dead=9 | 33.6s | ETA 866s
  210/5220 (4.0%) | alive=200 dead=10 | 34.9s | ETA 833s
  225/5220 (4.3%) | alive=214 dead=11 | 37.0s | ETA 821s
  240/5220 (4.6%) | alive=229 dead=11 | 42.2s | ETA 876s
  255/5220 (4.9%) | alive=243 dead=12 | 58.2s | ETA 1133s
  270/5220 (5.2%) | alive=257 dead=13 | 67.0s | ETA 1228s
  285/5220 (5.5%) | alive=269 dead=16 | 83.0s | ETA 1437s
  300/5220 (5.7%) | alive=282 dead=18 | 99.0s | ETA 1624s
  315/5220 (6.0%) | alive=296 dead=19 | 115.1s | ETA 1792s
  330/5220 (6.3%) | alive=310 dead=20 | 117.3s | ETA 1738s
  345/5220 (6.6%) | alive=323 dead=22 | 119.1s | ETA 1683s
  360/5220 (6.9%) | alive=337 dead=23 | 121.7s | ETA 1643s
  375/5220 (7.2%) | alive=349 dead=26 | 137.7s | ETA 1779s
  390/5220 (7.5%) | alive=364 dead=26 | 138.8s | ETA 1719s
  405/5220 (7.8%) | alive=377 dead=28 | 140.4s | ETA 1669s
  420/5220 (8.0%) | alive=392 dead=28 | 142.4s | ETA 1627s
  435/5220 (8.3%) | alive=403 dead=32 | 144.4s | ETA 1588s
  450/5220 (8.6%) | alive=417 dead=33 | 146.5s | ETA 1553s
  465/5220 (8.9%) | alive=432 dead=33 | 148.4s | ETA 1518s
  480/5220 (9.2%) | alive=446 dead=34 | 150.1s | ETA 1482s
  495/5220 (9.5%) | alive=459 dead=36 | 153.0s | ETA 1460s
  510/5220 (9.8%) | alive=472 dead=38 | 156.3s | ETA 1443s
  525/5220 (10.1%) | alive=483 dead=42 | 172.3s | ETA 1541s
  540/5220 (10.3%) | alive=497 dead=43 | 173.8s | ETA 1506s
  555/5220 (10.6%) | alive=511 dead=44 | 176.1s | ETA 1480s
  570/5220 (10.9%) | alive=526 dead=44 | 178.1s | ETA 1453s
  585/5220 (11.2%) | alive=539 dead=46 | 179.4s | ETA 1421s
  600/5220 (11.5%) | alive=553 dead=47 | 195.5s | ETA 1505s
  615/5220 (11.8%) | alive=567 dead=48 | 204.2s | ETA 1529s
  630/5220 (12.1%) | alive=580 dead=50 | 206.8s | ETA 1507s
  645/5220 (12.4%) | alive=593 dead=52 | 222.8s | ETA 1580s
  660/5220 (12.6%) | alive=606 dead=54 | 238.8s | ETA 1650s
  675/5220 (12.9%) | alive=618 dead=57 | 254.8s | ETA 1716s
  690/5220 (13.2%) | alive=632 dead=58 | 257.9s | ETA 1693s
  705/5220 (13.5%) | alive=647 dead=58 | 260.7s | ETA 1670s
  720/5220 (13.8%) | alive=661 dead=59 | 276.7s | ETA 1729s
  735/5220 (14.1%) | alive=675 dead=60 | 292.7s | ETA 1786s
  750/5220 (14.4%) | alive=687 dead=63 | 295.2s | ETA 1759s
  765/5220 (14.7%) | alive=701 dead=64 | 297.0s | ETA 1730s
  780/5220 (14.9%) | alive=714 dead=66 | 298.7s | ETA 1700s
  795/5220 (15.2%) | alive=728 dead=67 | 300.9s | ETA 1675s
  810/5220 (15.5%) | alive=740 dead=70 | 302.1s | ETA 1645s
  825/5220 (15.8%) | alive=751 dead=74 | 304.2s | ETA 1621s
  840/5220 (16.1%) | alive=763 dead=77 | 320.2s | ETA 1670s
  855/5220 (16.4%) | alive=777 dead=78 | 322.0s | ETA 1644s
  870/5220 (16.7%) | alive=790 dead=80 | 323.3s | ETA 1617s
  885/5220 (17.0%) | alive=803 dead=82 | 339.3s | ETA 1662s
  900/5220 (17.2%) | alive=816 dead=84 | 342.3s | ETA 1643s
  915/5220 (17.5%) | alive=828 dead=87 | 358.3s | ETA 1686s
  930/5220 (17.8%) | alive=842 dead=88 | 361.2s | ETA 1666s
  945/5220 (18.1%) | alive=855 dead=90 | 377.2s | ETA 1706s
  960/5220 (18.4%) | alive=869 dead=91 | 379.7s | ETA 1685s
  975/5220 (18.7%) | alive=881 dead=94 | 395.7s | ETA 1723s
  990/5220 (19.0%) | alive=893 dead=97 | 397.9s | ETA 1700s
  1005/5220 (19.3%) | alive=905 dead=100 | 413.9s | ETA 1736s
  1020/5220 (19.5%) | alive=916 dead=104 | 416.1s | ETA 1713s
  1035/5220 (19.8%) | alive=929 dead=106 | 417.2s | ETA 1687s
  1050/5220 (20.1%) | alive=939 dead=111 | 433.2s | ETA 1720s
  1065/5220 (20.4%) | alive=952 dead=113 | 436.8s | ETA 1704s
  1080/5220 (20.7%) | alive=966 dead=114 | 438.6s | ETA 1681s
  1095/5220 (21.0%) | alive=977 dead=118 | 454.6s | ETA 1713s
  1110/5220 (21.3%) | alive=990 dead=120 | 455.7s | ETA 1687s
  1125/5220 (21.6%) | alive=1001 dead=124 | 457.4s | ETA 1665s
  1140/5220 (21.8%) | alive=1010 dead=130 | 473.4s | ETA 1694s
  1155/5220 (22.1%) | alive=1023 dead=132 | 475.0s | ETA 1672s
  1170/5220 (22.4%) | alive=1032 dead=138 | 491.0s | ETA 1700s
  1185/5220 (22.7%) | alive=1042 dead=143 | 507.1s | ETA 1727s
  1200/5220 (23.0%) | alive=1054 dead=146 | 510.8s | ETA 1711s
  1215/5220 (23.3%) | alive=1065 dead=150 | 526.8s | ETA 1736s
  1230/5220 (23.6%) | alive=1077 dead=153 | 542.8s | ETA 1761s
  1245/5220 (23.9%) | alive=1089 dead=156 | 545.7s | ETA 1742s
  1260/5220 (24.1%) | alive=1101 dead=159 | 561.7s | ETA 1765s
  1275/5220 (24.4%) | alive=1115 dead=160 | 564.8s | ETA 1748s
  1290/5220 (24.7%) | alive=1126 dead=164 | 580.8s | ETA 1769s
  1305/5220 (25.0%) | alive=1139 dead=166 | 596.8s | ETA 1790s
  1320/5220 (25.3%) | alive=1152 dead=168 | 600.0s | ETA 1773s
  1335/5220 (25.6%) | alive=1163 dead=172 | 616.0s | ETA 1793s
  1350/5220 (25.9%) | alive=1177 dead=173 | 619.9s | ETA 1777s
  1365/5220 (26.1%) | alive=1188 dead=177 | 623.1s | ETA 1760s
  1380/5220 (26.4%) | alive=1201 dead=179 | 639.1s | ETA 1778s
  1395/5220 (26.7%) | alive=1210 dead=185 | 655.1s | ETA 1796s
  1410/5220 (27.0%) | alive=1220 dead=190 | 671.2s | ETA 1814s
  1425/5220 (27.3%) | alive=1232 dead=193 | 683.0s | ETA 1819s
  1440/5220 (27.6%) | alive=1241 dead=199 | 687.2s | ETA 1804s
  1455/5220 (27.9%) | alive=1252 dead=203 | 691.5s | ETA 1789s
  1470/5220 (28.2%) | alive=1263 dead=207 | 695.5s | ETA 1774s
  1485/5220 (28.4%) | alive=1277 dead=208 | 699.9s | ETA 1760s
  1500/5220 (28.7%) | alive=1289 dead=211 | 703.6s | ETA 1745s
  1515/5220 (29.0%) | alive=1297 dead=218 | 719.6s | ETA 1760s
